,friend,count,Username
1153,25073877,63,realDonaldTrump
1274,822215679726100480,45,POTUS
1271,41634520,33,seanhannity
2978,818876014390603776,32,FLOTUS
4988,39344374,32,IvankaTrump
3019,52544275,32,WhiteHouse
4776,822215673812119553,32,DonaldJTrumpJr
4977,78523300,31,TuckerCarlson
1632,22703645,31,JudicialWatch
3660,18247062,31,RealJamesWoods
2968,471672239,29,dbongino
2396,232901331,29,KellyannePolls
4569,818927131883356161,29,PressSec
5037,878247600096509952,27,RealCandaceO
4257,818910970567344128,26,OANN
1331,1209936918,26,VP
4979,39349894,25,JudgeJeanine
1758,29458079,25,EricTrump
3026,22203756,24,marklevinshow
2915,729676086632656900,24,TeamTrump
5036,2908170952,24,Mike_Pence
1766,38495835,24,DiamondandSilk
5015,50769180,23,TomFitton
2314,18266688,23,IngrahamAngle
2056,18643437,22,charliekirk11
1328,292929271,22,PrisonPlanet
5033,91882544,22,DineshDSouza
3500,457984599,21,wikileaks
1047,16589206,21,SecPompeo
2297,988573326376427520,21,BreitbartNews
