tweet_text,username,date,retweets,favorites
"PLANDEMIC, A FILM ABOUT THE GLOBAL PLAN TO TAKE CONTROL OF OUR LIVES, LIBERTY, HEALTH &amp; FREEDOM. https://www.bitchute.com/video/PuY6jzvuRb3i/ #BitChute",HaroldR37205497,2020-05-08 23:58:17+00:00,0,0
"DR. JUDY MIKOVITS INTERVIEW DOWNLOADABLE LINK, PREVIOUSLY DELETED, USE L... https://youtu.be/YueI_G7Ghco via @YouTube IF YOU MISSED THE INTERVIEW OF #DrJudyMikovits DOWNLOAD IT HERE. #PlandemicDocumentary #plandemic #nofearamericanbusiness #mediablackout #FauciFraud #banned #fauci",No_Fear_AmBIZ,2020-05-08 23:57:03+00:00,1,0
"PLANDEMIC, A FILM ABOUT THE GLOBAL PLAN TO TAKE CONTROL OF OUR LIVES, LIBERTY, HEALTH &amp; FREEDOM. https://www.bitchute.com/video/PuY6jzvuRb3i/ #BitChute",BelievingGood,2020-05-08 23:56:57+00:00,0,0
Plandemic Part 1 - Dr Judy Mikovits https://www.bitchute.com/video/T6ByOc9NOgW9/ #BitChute,craziemous,2020-05-08 23:56:43+00:00,0,0
"PLANDEMIC, A FILM ABOUT THE GLOBAL PLAN TO TAKE CONTROL OF OUR LIVES, LIBERTY, HEALTH &amp; FREEDOM. https://www.bitchute.com/video/PuY6jzvuRb3i/ #BitChute",stevemckay9190,2020-05-08 23:56:42+00:00,0,0
The Propaganda Behind the Plandemic 2020 https://youtu.be/ZMKNpr_OIdM via @YouTube,x988hhfEqsugBZQ,2020-05-08 23:55:15+00:00,0,0
Plandemic Documentary The Hidden Agenda Behind Covid 19 Part 2 of 2 https://youtu.be/xd9BTwtWJfo via @YouTube,1crosbycat,2020-05-08 23:54:40+00:00,0,0
Plandemic Part 1 - Dr Judy Mikovits https://www.bitchute.com/video/T6ByOc9NOgW9/ #BitChute,promdipatriot,2020-05-08 23:54:32+00:00,2,1
"Zach Vorhies on Censorship, the Plandemic, False Opposition and Qanon https://youtu.be/Up_8UhoLsl0 via @YouTube",jbug224,2020-05-08 23:53:36+00:00,1,0
"A Doctor Reacts To “Plandemic"" https://youtu.be/KHeg9DDrjMs via @YouTube",The_Lady_Red,2020-05-08 23:52:55+00:00,0,0
Plandemic - A Film About the Global Plan To Take Control Of Our Lives https://www.bitchute.com/video/Z9PtI64i5lkg/ #BitChute,rivegauche39,2020-05-08 23:52:51+00:00,0,0
Plandemic Movie - Part 1 (Judy Mikovits) https://www.bitchute.com/video/6JvUxK7dHHBs/ #BitChute,a3auntie,2020-05-08 23:52:19+00:00,0,0
PLANDEMIC Part 1 Dr Judy Mikovits https://www.bitchute.com/video/n53K4AzOh4U/ #BitChute,TheSass8,2020-05-08 23:50:30+00:00,0,0
Are The Wheels Falling Off The GatesVirus Plandemic? https://youtu.be/52mu-ZQGdAs via @YouTube,Norrienon,2020-05-08 23:48:44+00:00,0,0
"PLANDEMIC, A FILM ABOUT THE GLOBAL PLAN TO TAKE CONTROL OF OUR LIVES, LIBERTY, HEALTH &amp; FREEDOM. https://www.bitchute.com/video/PuY6jzvuRb3i/ #BitChute",NewEyesOnIt,2020-05-08 23:48:06+00:00,0,0
PLANDEMIC Part 1 (Dr. Judy Mikovits) https://www.bitchute.com/video/ixYeaux359dV/ #BitChute,ConnieFGreen,2020-05-08 23:48:02+00:00,0,0
Plandemic Documentary The Hidden Agenda Behind Covid 19 Live Stream https://youtu.be/qllf9JYiUis via @YouTube,philmor38386543,2020-05-08 23:47:08+00:00,0,0
Plandemic The Movie (Part 1) - Interview with Judy Mikovits https://www.bitchute.com/video/sHrpUplJPTUE/ #BitChute,RobbieCross007,2020-05-08 23:46:21+00:00,1,1
"Youtube took down yet another truther Dr Judy Milkovts. Plandemic Documentary, So Here it is on Bitchute https://www.bitchute.com/video/PuY6jzvuRb3i/",diamondlife_3,2020-05-08 23:45:46+00:00,0,0
https://youtu.be/HmePdoAqlkY #Plandemic,Van_porter,2020-05-08 23:44:59+00:00,0,0
PLANDEMIC Part 1 Dr Judy Mikovits https://youtu.be/7PmIaChOKAg via @YouTube The first part of this acclaimed video.,crustycobs,2020-05-08 23:44:37+00:00,1,1
"Are The Wheels Falling Off The GatesVirus Plandemic? https://youtu.be/52mu-ZQGdAs via @YouTube If this was not planned, how did the CARE ACT get put together in January 2019?",MistressRazz,2020-05-08 23:43:48+00:00,0,0
 Plandemic Documentary - The Hidden Agenda behind COVID-19 https://www.bitchute.com/video/oqRzyLvIDKKd/ #BitChute,Raquel19751812,2020-05-08 23:43:22+00:00,0,0
"Watch till the end. Watch ""Plandemic documentary 2020"" on YouTube https://youtu.be/26eNi2S_oHU #COVID19",BlockMinerBob,2020-05-08 23:42:34+00:00,0,0
Plandemic Documentary The Hidden Agenda Behind Covid 19 Live Stream https://youtu.be/qllf9JYiUis via @YouTube y’all please watch this before they take it down,PharaohRas,2020-05-08 23:42:31+00:00,1,0
FCC limits are much to high and not healthy. Do it for the children and future. #GreatAwakening #COVID19 #5Gvirus @realDonaldTrump @SteveScalise @AdamKinzinger Plandemic Documentary The Hidden Agenda Behind Covid 19 CORONAVIRUS Part 2 https://youtu.be/6nCmvx7yoXU via @YouTube,CaylevS,2020-05-08 23:42:25+00:00,0,0
"A Doctor Reacts To “Plandemic"" https://youtu.be/KHeg9DDrjMs via @YouTube",oqaqiq,2020-05-08 23:40:57+00:00,0,0
PLANDEMIC Part 1 Dr Judy Mikovits https://youtu.be/7PmIaChOKAg via @YouTube,janis_step,2020-05-08 23:40:38+00:00,0,0
Plandemic Part 1 - Dr Judy Mikovits https://www.bitchute.com/video/T6ByOc9NOgW9/ #BitChute,Bunky7777,2020-05-08 23:39:24+00:00,0,0
Plandemic Part 1 https://www.bitchute.com/video/aNjeT1G6iGTh/ #BitChute,BudBromley,2020-05-08 23:38:46+00:00,0,0
[SCARE] NECESSARY EVENT Plandemic #TheGreatAwakening Counting the Omer t... https://youtu.be/6aPOQG2PqO8 via @YouTube,artisanmosaics,2020-05-08 23:38:22+00:00,0,0
Plandemic documentary 2020 https://youtu.be/26eNi2S_oHU via @YouTube,IAmChelleBelles,2020-05-08 23:38:21+00:00,0,0
"PlanDemic, a film about the global plan to take control of our lives, liberty, health &amp; freedom. https://www.bitchute.com/video/xvD0eYUraZkq/ #BitChute",ClockenderN5,2020-05-08 23:36:31+00:00,0,0
"""PLANDEMIC"" New Age Agenda Revealed https://youtu.be/Y6s91J3bWPo via @YouTube",Kimmie4Now,2020-05-08 23:34:14+00:00,0,0
